job_id;job_title_short;job_location_city;job_via;job_schedule_type;job_work_from_home;job_posted_month;job_no_degree_mention
331526;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
518548;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1362287;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
600871;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1653413;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
163601;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
211755;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1241319;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1431096;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
3317;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
87445;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
144559;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
181337;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
242251;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
341133;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
432936;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
747774;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1359681;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
1413379;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
388660;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
479263;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
478301;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
551172;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
1024879;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
352980;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
689485;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
274223;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
470122;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
514633;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
644485;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
744480;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
1606958;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;TRUE
977002;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;January;FALSE
